"11.Find the output<br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{<br>    struct s1<br>    {<br>        char *z;<br>    int i;<br>    struct s1 *p;<br>    };<br>static struct s1 a[] = {{""Association"", 1, a+1} ,     {""Computer"", 2, a+2} ,                             {""Science"", 3, a} };<br><br>    struct s1 *ptr = a;<br>    printf(""%s,"", ++(ptr->z));<br>    printf("" %s,"", a[(++ptr)->i].z);<br>    printf("" %s"", a[--(ptr->p->i)].z);<br>    return 0;<br>}</code>","Association, Computer, Engineers","ssociation, Computer, Engineers","Association, Computer, ngineers","ssociation, Engineers, Engineers",
"12.What will be the output for the following program?<br><code class=""prettyprint"">#include<stdio.h><br>void main()<br>{<br> if(!printf(""PROTOCOL""))<br>  printf(""’18"");<br> else printf(""v2.0"");<br>}</code>",PROTOCOL'18,'18,PROTOCOLv2.0,v2.0,
"13.What is the output for the following program?<br><code class=""prettyprint"">#include<stdio.h><br>void fun(int x)<br>{ #define printf(k,l) printf(k,l*5) }<br>void fun2(int x)<br>{ #define printf(k,l) printf(k,l*2+5) }<br>void main()<br>{<br> int x=3;<br> fun(x);<br> fun2(x);<br> printf(""%i"",x);<br>}</code>",Error,Warning with output 11,Warning with output 15,Output without any error,
"14.Choose the right output for the following program:<br><code class=""prettyprint"">#include<stdio.h><br>void main()<br>{<br> char* s=""_PROTOCOL&ACE_"";<br> printf(""%d"",printf(""%s"",s)-printf(""\n""));}<br></code>"," _PROTOCOL&ACE_13"," PROTOCOL&ACE_14"," _PROTOCOL&ACE_0","<Empty Line>_PROTOCOL&ACE_14",
"15.What will be the output of the C Code?<br><code class=""prettyprint"">#include<stdio.h><br>#define x 5+2<br>void main()<br>{    int i;<br>    i=x*x*x;<br>    printf(""%d"",i); <br>}</code>",343,27,133,None of the above,
"16.What will the output of the C Code?<br><code class=""prettyprint"">#include<stdio.h><br>void main(){<br>printf(""%d"",sizeof(5.2));<br>}</code>",2,4,8,10,
"17.What will be the output of the C Code?<br><code class=""prettyprint"">#include<stdio.h><br> void main(){<br>   int array[]={10,20,30,40};<br>  printf(""%d"",-2[array]); <br> }</code>",-60,-30,60,Compile Error,
"18.What will the output of the code?<br><code class=""prettyprint"">#include<stdio.h><br>extern int x;<br>int main(){<br>    do{<br>        do{<br>             printf(""%o"",x);<br>         }<br>         while(!-2);<br>    }<br>    while(0);<br>    return 0;<br>}<br>int x=8;</code>",10,8,Infinite loop,None of the above,
"19.Predict the output<br><code class=""prettyprint"">#include<stdio.h><br>int main(){<br>    int i,j;<br>    i=j=2,3;<br>    while(--i&&j++)<br>         printf(""%d %d"",i,j);<br>    return 0;<br>}</code>",1 3,1 4,2 4 1 5,None of the above,
"20.Predict the output<br><code class=""prettyprint"">#include<stdio.h><br>void f();<br>int main(){<br>#define max 10<br> f();<br> return 0;<br>}<br>void f(){<br>printf(""%d\n"", max*10);<br>}</code>",100,Compile time error since #define cannot be inside functions,Compile time error since max is not visible in f(),Undefined behaviour,
"21.Predict the output:<br><code class=""prettyprint"">#include<stdio.h><br>int main(){<br>    int x=123;<br>    int i={<br>         printf(""c"" ""++"")<br>    };<br>    for(x=0;x<=i;x++){<br>         printf(""%x "",x);<br>    }<br>    return 0;<br>}</code>",Compiler error : Reninitialization of variable,c++0 1 2 3,c0 1 2 3,None of the above,
"22.Predict the output:<br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{<br>    enum days {MON=-1, TUE, WED=6, THU, FRI, SAT};<br>    printf(""%d, %d, %d, %d, %d, %d\n"", MON, TUE, WED, THU, FRI, SAT);<br>    return 0;<br>}</code>","-1, 0, 1, 2, 3, 4","-1, 2, 6, 3, 4, 5","-1, 0, 6, 2, 3, 4","-1, 0, 6, 7, 8, 9",
"23.Predict the output:<br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{<br>    int i=4, j=8;<br>    printf(""%d, %d, %d\n"", i|j&j|i, i|j&j|i, i^j);<br>    return 0;<br>}</code>","12, 12, 12","112, 1, 12","32, 1, 12","-64, 1, 12",
24.Which of the following statement obtains the remainder on dividing 5.5 by 1.3 ?,rem = (5.5 % 1.3),"rem = modf(5.5, 1.3)","rem = fmod(5.5, 1.3)",Error: we can't divide,
25.Which of the following function is used to find the first occurrence of a given string in another string?,strchr(),strrchr(),strstr(),strnset(),
"26.How many times the program will print ""PROTOCOL"" ? <br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{<br>    printf(""PROTOCOL"");<br>    main();<br>    return 0;<br>}</code>",Infinite times,32767 times,65535 times,Till stack overflows,
27.fseek() should be preferred over rewind() mainly because,rewind() doesn't work for empty files,rewind() may fail for large files,"In rewind(), there is no way to check if the operations completed successfully",All of the above,
"28.Predict the output? <br><code class=""prettyprint"">#include <stdio.h><br>#include <stdlib.h><br> <br>int main(void)<br>{<br>    int i;<br>    int *ptr = (int *) malloc(5 * sizeof(int));<br> <br>    for (i=0; i<5; i++)<br>        *(ptr + i) = i;<br> <br>    printf(""%d "", *ptr++);<br>    printf(""%d "", (*ptr)++);<br>    printf(""%d "", *ptr);<br>    printf(""%d "", *++ptr);<br>    printf(""%d "", ++*ptr);<br>}</code>",Compiler Error,0 1 2 2 3,0 1 2 3 4,1 2 3 4 5,
29.Which of the following is/are true,"calloc() allocates the memory and also initializes the allocates memory to zero, while memory allocated using malloc() has random data.","calloc() takes two arguments, but malloc takes only 1 argument.",Both malloc() and calloc() return 'void *' pointer.,All of the above
"30.Predict the output? <br><code class=""prettyprint"">#include<iostream><br>using namespace std;<br><br>class Base<br>{<br>protected:<br>    int a;<br>public:<br>    Base() {a = 0;}<br>};<br>class Derived1:  public Base<br>{<br>public:<br>    int c;<br>};<br><br>class Derived2:  public Base<br>{<br>public:<br>    int c;<br>};<br><br>class DerivedDerived: public Derived1, public Derived2<br>{<br>public:<br>    void show()  {   cout << a;  }<br>};<br><br>int main(void)<br>{<br>    DerivedDerived d;<br>    d.show();<br>    return 0;<br>}</code>","Compiler Error in Line ""cout << a;""",0,"Compiler Error in Line ""class DerivedDerived: public Derived1, public Derived2""",Garbage value,
